index,symbol,name,date,isEnabled,type,iexId
82,ACWI,iShares MSCI ACWI Index Fund,7/19/2018,TRUE,et,79
83,ACWV,iShares Edge MSCI Min Vol Global,7/19/2018,TRUE,et,80
84,ACWX,iShares MSCI ACWI Ex US Index Fund,7/19/2018,TRUE,et,81
85,ACXM,Acxiom Corporation,7/19/2018,TRUE,cs,82
86,ACY,AeroCentury Corp.,7/19/2018,TRUE,cs,83
87,ADAP,Adaptimmune Therapeutics plc,7/19/2018,TRUE,cs,9962
88,ADBE,Adobe Systems Incorporated,7/19/2018,TRUE,cs,85
89,ADC,Agree Realty Corporation,7/19/2018,TRUE,cs,86
90,ADES,Advanced Emissions Solutions Inc.,7/19/2018,TRUE,cs,89
91,ADI,Analog Devices Inc.,7/19/2018,TRUE,cs,93
92,ADM,Archer-Daniels-Midland Company,7/19/2018,TRUE,cs,96
93,ADMA,ADMA Biologics Inc,7/19/2018,TRUE,cs,9483
94,ADMP,Adamis Pharmaceuticals Corporation,7/19/2018,TRUE,cs,8158
95,ADMS,Adamas Pharmaceuticals Inc.,7/19/2018,TRUE,cs,8476
96,ADNT,Adient plc,7/19/2018,TRUE,cs,11802
97,ADOM,ADOMANI Inc.,7/19/2018,TRUE,cs,13022
98,ADP,Automatic Data Processing Inc.,7/19/2018,TRUE,cs,98
99,ADRA,Invesco BLDRS Asia 50 ADR Index Fund,7/19/2018,TRUE,et,99
100,ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,7/19/2018,TRUE,et,100
101,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,7/19/2018,TRUE,et,101
102,ADRO,Aduro Biotech Inc.,7/19/2018,TRUE,cs,9823
103,ADRU,Invesco BLDRS Europe Select ADR Index Fund,7/19/2018,TRUE,et,102
104,ADS,Alliance Data Systems Corporation,7/19/2018,TRUE,cs,103
105,ADSK,Autodesk Inc.,7/19/2018,TRUE,cs,104
106,ADSW,Advanced Disposal Services Inc.,7/19/2018,TRUE,cs,10650
107,ADT,ADT Inc.,7/19/2018,TRUE,cs,13952
108,ADTN,ADTRAN Inc.,7/19/2018,TRUE,cs,106
109,ADUS,Addus HomeCare Corporation,7/19/2018,TRUE,cs,107
110,ADVM,Adverum Biotechnologies Inc.,7/19/2018,TRUE,cs,8910
111,ADX,Adams Diversified Equity Fund Inc.,7/19/2018,TRUE,cs,109
112,ADXS,Advaxis Inc.,7/19/2018,TRUE,cs,8016
113,ADXSW,Advaxis Inc. Warrants,7/19/2018,TRUE,N/A,8017
114,ADZ,DB Agriculture Short ETN due April 1 2038,7/19/2018,TRUE,et,110
115,AE,Adams Resources & Energy Inc.,7/19/2018,TRUE,cs,111
116,AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),7/19/2018,TRUE,bo,14576
117,AED,AEGON N.V. Perp. Cap. Securities (Netherlands),7/19/2018,TRUE,bo,14577
118,AEE,Ameren Corporation,7/19/2018,TRUE,cs,113
119,AEF,Aberdeen Emerging Markets Equity Income Fund Inc.,7/19/2018,TRUE,cs,1193
120,AEG,AEGON N.V.,7/19/2018,TRUE,cs,114
121,AEGN,Aegion Corp,7/19/2018,TRUE,cs,115
122,AEH,AEGON N.V. Perp. Cap Secs.,7/19/2018,TRUE,bo,14578
123,AEHR,Aehr Test Systems,7/19/2018,TRUE,cs,117
124,AEIS,Advanced Energy Industries Inc.,7/19/2018,TRUE,cs,118
125,AEL,American Equity Investment Life Holding Company,7/19/2018,TRUE,cs,119
126,AEM,Agnico Eagle Mines Limited,7/19/2018,TRUE,cs,120
127,AEMD,Aethlon Medical Inc.,7/19/2018,TRUE,cs,10300
128,AEO,American Eagle Outfitters Inc.,7/19/2018,TRUE,cs,121
129,AEP,American Electric Power Company Inc.,7/19/2018,TRUE,cs,122
130,AER,Aercap Holdings N.V.,7/19/2018,TRUE,cs,124
131,AERI,Aerie Pharmaceuticals Inc.,7/19/2018,TRUE,cs,8039
132,AES,The AES Corporation,7/19/2018,TRUE,cs,126
133,AET,Aetna Inc.,7/19/2018,TRUE,cs,128
134,AETI,American Electric Technologies Inc.,7/19/2018,TRUE,cs,129
135,AEY,ADDvantage Technologies Group Inc.,7/19/2018,TRUE,cs,130
136,AEZS,Aeterna Zentaris Inc.,7/19/2018,TRUE,cs,131
137,AFB,AllianceBernstein National Municipal Income Fund Inc,7/19/2018,TRUE,cs,136
138,AFC,Allied Capital Corporation 6.875% Notes due April 15 2047,7/19/2018,TRUE,bo,137
139,AFG,American Financial Group Inc.,7/19/2018,TRUE,cs,141
140,AFGE,,7/19/2018,TRUE,N/A,9316
141,AFGH,,7/19/2018,TRUE,N/A,10869
142,AFGL,,7/19/2018,TRUE,N/A,14700
143,AFH,Atlas Financial Holdings Inc.,7/19/2018,TRUE,cs,142
144,AFHBL,Atlas Financial Holdings Inc. 6.625% Senior Unsecured Notes Due 2022,7/19/2018,TRUE,N/A,14579
145,AFI,Armstrong Flooring Inc.,7/19/2018,TRUE,cs,11150
146,AFIN,,7/19/2018,TRUE,N/A,14844
147,AFK,VanEck Vectors-Africa Index,7/19/2018,TRUE,et,143
148,AFL,AFLAC Incorporated,7/19/2018,TRUE,cs,144
149,AFMD,Affimed N.V.,7/19/2018,TRUE,cs,8902
150,AFSI,AmTrust Financial Services Inc.,7/19/2018,TRUE,cs,150
151,AFSI-A,AmTrust Financial Services Inc. Preferred Series A,7/19/2018,TRUE,ps,151
152,AFSI-B,AmTrust Financial Services Inc. Depository Shares Series B,7/19/2018,TRUE,ps,8938
153,AFSI-C,AmTrust Financial Services Inc. Depository Shares Series C,7/19/2018,TRUE,ps,9301
154,AFSI-D,AmTrust Financial Services Inc. Depositary Shares Series D,7/19/2018,TRUE,ps,9860
155,AFSI-E,AmTrust Financial Services Inc. Depositary Shares Series E,7/19/2018,TRUE,ps,11166
156,AFSI-F,AmTrust Financial Services Inc. Depositary Shares Series F,7/19/2018,TRUE,ps,11904
157,AFSS,,7/19/2018,TRUE,N/A,10121
158,AFST,,7/19/2018,TRUE,N/A,10558
159,AFT,Apollo Senior Floating Rate Fund Inc.,7/19/2018,TRUE,cs,152
160,AFTY,CSOP FTSE China A50,7/19/2018,TRUE,N/A,9810
161,AG,First Majestic Silver Corp. (Canada),7/19/2018,TRUE,cs,154
162,AGC,Advent Claymore Convertible Securities and Income Fund of Beneficial Interest,7/19/2018,TRUE,cs,156
163,AGCO,AGCO Corporation,7/19/2018,TRUE,cs,157
164,AGD,Aberdeen Global Dynamic Dividend Fund,7/19/2018,TRUE,cs,158
165,AGEN,Agenus Inc.,7/19/2018,TRUE,cs,160
166,AGF,DB Agriculture Long ETN due April 1 2038,7/19/2018,TRUE,et,161
167,AGFS,AgroFresh Solutions Inc.,7/19/2018,TRUE,cs,8522
168,AGFSW,AgroFresh Solutions Inc. Warrants,7/19/2018,TRUE,N/A,8533
169,AGG,iShares Core U.S. Aggregate Bond,7/19/2018,TRUE,et,162
170,AGGE,IQ Enhanced Core Bond U.S.,7/19/2018,TRUE,N/A,11327
171,AGGP,IQ Enhanced Core Plus Bond U.S.,7/19/2018,TRUE,N/A,11328
172,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,7/19/2018,TRUE,N/A,10278
173,AGI,Alamos Gold Inc. Class A,7/19/2018,TRUE,cs,10266
174,AGIO,Agios Pharmaceuticals Inc.,7/19/2018,TRUE,cs,166
175,AGLE,Aeglea BioTherapeutics Inc.,7/19/2018,TRUE,cs,11213
176,AGM,Federal Agricultural Mortgage Corporation,7/19/2018,TRUE,cs,168
177,AGM-A,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock Series A,7/19/2018,TRUE,ps,169
178,AGM-B,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,7/19/2018,TRUE,ps,8508
179,AGM-C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,7/19/2018,TRUE,ps,8903
180,AGM.A,Federal Agricultural Mortgage Corporation,7/19/2018,TRUE,cs,170
181,AGMH,AGM Group Holdings Inc.,7/19/2018,TRUE,cs,12923
182,AGN,Allergan plc,7/19/2018,TRUE,cs,72
183,AGNC,AGNC Investment Corp.,7/19/2018,TRUE,cs,172
184,AGNCB,AGNC Investment Corp. Depositary Shares representing 1/1000th Series B Preferred Stock,7/19/2018,TRUE,ps,8623
185,AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,7/19/2018,TRUE,ps,13319
186,AGND,WisdomTree Barclays U.S. Aggregate Bond Negative D,7/19/2018,TRUE,N/A,8169
187,AGO,Assured Guaranty Ltd.,7/19/2018,TRUE,cs,174
188,AGO-B,Assured Guaranty Ltd.,7/19/2018,TRUE,N/A,175
189,AGO-E,Assured Guaranty Ltd.,7/19/2018,TRUE,N/A,176
190,AGO-F,Assured Guaranty Ltd.,7/19/2018,TRUE,N/A,177
191,AGQ,ProShares Ultra Silver,7/19/2018,TRUE,et,179
192,AGR,Avangrid Inc.,7/19/2018,TRUE,cs,10927
193,AGRO,Adecoagro S.A.,7/19/2018,TRUE,cs,180
194,AGRX,Agile Therapeutics Inc.,7/19/2018,TRUE,cs,8646
195,AGS,PlayAGS Inc.,7/19/2018,TRUE,cs,13933
196,AGT,iShares MSCI Argentina and Global Exposure,7/19/2018,TRUE,N/A,12812
197,AGTC,Applied Genetic Technologies Corporation,7/19/2018,TRUE,cs,8331
198,AGX,Argan Inc.,7/19/2018,TRUE,cs,182
199,AGYS,Agilysys Inc.,7/19/2018,TRUE,cs,183
200,AGZ,iShares Agency Bond,7/19/2018,TRUE,et,184
201,AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Durat,7/19/2018,TRUE,N/A,8170
202,AHC,A.H. Belo Corporation (TX),7/19/2018,TRUE,cs,187
203,AHH,Armada Hoffler Properties Inc.,7/19/2018,TRUE,cs,189
204,AHL,Aspen Insurance Holdings Limited,7/19/2018,TRUE,cs,190
205,AHL-C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,7/19/2018,TRUE,ps,14580
206,AHL-D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,7/19/2018,TRUE,ps,14581
207,AHPA,Avista Healthcare Public Acquisition Corp.,7/19/2018,TRUE,cs,12139
208,AHPAU,Avista Healthcare Public Acquisition Corp. Unit,7/19/2018,TRUE,su,11786
209,AHPAW,Avista Healthcare Public Acquisition Corp. Warrants,7/19/2018,TRUE,N/A,12144
210,AHPI,Allied Healthcare Products Inc.,7/19/2018,TRUE,cs,191
211,AHT,Ashford Hospitality Trust Inc,7/19/2018,TRUE,cs,193
212,AHT-D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,7/19/2018,TRUE,ps,195
213,AHT-F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,7/19/2018,TRUE,ps,11628
214,AHT-G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,7/19/2018,TRUE,ps,12003
215,AHT-H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,7/19/2018,TRUE,ps,13325
216,AHT-I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,7/19/2018,TRUE,ps,13823
217,AI,Arlington Asset Investment Corp Class A (new),7/19/2018,TRUE,cs,198
218,AI-B,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,7/19/2018,TRUE,ps,12907
219,AIA,iShares Asia 50 ETF,7/19/2018,TRUE,et,199
220,AIC,,7/19/2018,TRUE,N/A,9861
221,AIEQ,AI Powered Equity,7/19/2018,TRUE,N/A,13582
222,AIF,Apollo Tactical Income Fund Inc.,7/19/2018,TRUE,cs,201
223,AIG,American International Group Inc.,7/19/2018,TRUE,cs,202
224,AIG+,American International Group Inc. Warrant expiring January 19 2021,7/19/2018,TRUE,N/A,7912
225,AIHS,Senmiao Technology Limited,7/19/2018,TRUE,cs,13684
226,AIIQ,AI Powered International Equity,7/19/2018,TRUE,N/A,14714
227,AIMC,Altra Industrial Motion Corp.,7/19/2018,TRUE,cs,203
228,AIMT,Aimmune Therapeutics Inc.,7/19/2018,TRUE,cs,10269
229,AIN,Albany International Corporation,7/19/2018,TRUE,cs,204
230,AINC,Ashford Inc.,7/19/2018,TRUE,cs,9471
231,AINV,Apollo Investment Corporation,7/19/2018,TRUE,cs,205
232,AIPT,Precision Therapeutics Inc.,7/19/2018,TRUE,cs,9594
233,AIQ,Global X Future Analytics Tech ETF,7/19/2018,TRUE,N/A,14539
234,AIR,AAR Corp.,7/19/2018,TRUE,cs,207
235,AIRG,Airgain Inc.,7/19/2018,TRUE,cs,11671
236,AIRI,Air Industries Group,7/19/2018,TRUE,cs,208
237,AIRR,First Trust RBA American Industrial Renaissance ET,7/19/2018,TRUE,N/A,8334
238,AIRT,Air T Inc.,7/19/2018,TRUE,cs,210
239,AIT,Applied Industrial Technologies Inc.,7/19/2018,TRUE,cs,211
240,AIV,Apartment Investment and Management Company,7/19/2018,TRUE,cs,212
241,AIV-A,Apartment Investment and Management Company Preferred Series Class A,7/19/2018,TRUE,ps,8656
242,AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,7/19/2018,TRUE,N/A,214
243,AIY,Apollo Investment Corporation 6.875% Senior Notes due 2043,7/19/2018,TRUE,N/A,216
244,AIZ,Assurant Inc.,7/19/2018,TRUE,cs,217
